file_name,category,raw_ovrl,raw_sig,raw_bak,mossformer_ovrl,mossformer_sig,mossformer_bak,frcrn_se_ovrl,frcrn_se_sig,frcrn_se_bak,demucs_ovrl,demucs_sig,demucs_bak
002-0.wav,Control,1.9824402843202864,2.268446717943464,3.897340570177351,2.0130101272038052,2.3506410803113664,4.036976643971035,1.9643326827457972,2.4512413229261125,3.952789238521031,2.1253060613359724,2.560783726828439,4.1546671731131415
002-1.wav,Control,2.0873452027638755,2.4810280402501426,3.5195272498660617,2.278022196557787,2.59995256529914,4.070631636513604,2.018838988410102,2.6423164473639593,3.898021274142795,2.3523037433624268,2.7199722396002874,3.992559724383884
002-2.wav,Control,2.0488933854632907,2.484723024898105,3.984933508767022,2.0017206403944225,2.4465096526675754,3.9832240210639105,2.0679373343785605,2.6487804783715143,4.008860376146105,2.15048611164093,2.618761036131117,4.009241104125977
002-3.wav,Control,2.465953250726064,3.2506160338719687,2.9095752040545144,2.899161219596863,3.343687733014425,3.8313561280568442,2.873920887708664,3.3423831462860107,3.826546092828115,2.794645845890045,3.342042088508606,3.534743328889211
006-2.wav,Control,3.0298811912536623,3.555818271636963,3.6306408882141112,3.1859192848205566,3.5547563552856447,4.062782526016235,3.166473627090454,3.565602731704712,3.9683314323425294,3.3135522842407226,3.6444370269775392,4.1986922264099125
006-3.wav,Control,3.018834216254098,3.793034655707223,3.2321903705596924,3.2031335149492537,3.7098545346941267,3.769420691898891,3.0245589869362965,3.7890215601239885,3.2399719783238004,3.0887344905308316,3.7455475670950755,3.4531845365251814
006-4.wav,Control,2.994218587875366,3.6761078357696535,3.3034953117370605,3.245983386039734,3.6665839672088625,3.89755117893219,3.468262505531311,3.7831910848617554,4.193852186203003,3.0380194425582885,3.640651226043701,3.4502071142196655
013-0.wav,Control,1.8548695700509208,2.211884413446699,3.860257863998413,1.927408082144601,2.4069522278649464,3.8948090757642473,1.9729816573006767,2.5446429593222484,3.8855365003858293,2.021663086754935,2.562936476298741,3.905047450746809
013-2.wav,Control,2.2916178901990256,2.711547533671061,3.677334507306417,2.3579614559809365,2.748241206010183,4.002519607543945,2.328223486741384,2.7847021222114563,3.954192598660787,2.4296825528144836,2.8866284489631653,4.029100100199382
013-3.wav,Control,2.4051973479134694,2.9635582651410783,3.6799358980996266,2.5312911101749966,2.9061245577675954,4.13869799886431,2.4992534603391374,2.908358233315604,4.102313143866403,2.4815848554883684,2.9603656019483293,4.0174990722111295
013-4.wav,Control,2.348800619443258,3.088534355163574,2.8382959763209024,2.941301186879476,3.1742053826649985,4.0292207797368365,2.8181057373682656,3.0519049167633057,4.08110233147939,2.515459338823954,2.955471396446228,3.4905131260553994
015-0.wav,Control,2.2855125835963657,2.666730148451669,3.856849329812186,2.2620457070214406,2.6397184303828647,3.8663081782204762,1.9206987449101038,2.4798626729420254,3.6847345999308994,2.3115096347672597,2.7243583372661044,3.9250400066375732
015-1.wav,Control,1.785483024337075,2.3116250146519053,3.8340229337865654,1.6575833559036255,2.1646603670987217,3.7151791832663794,1.8461303277449175,2.392865083434365,3.9194366931915283,1.776632774959911,2.3425226428292016,3.728027820587158
015-2.wav,Control,2.8821832835674286,3.4118148386478424,3.4655061960220337,2.9617627461751304,3.4388834834098816,3.6631900668144226,3.015646199385325,3.466828227043152,3.7377004822095237,3.0285454193751016,3.450378507375717,3.7618256707986197
015-3.wav,Control,3.529459625482559,3.835611194372177,4.271151512861252,3.640600264072418,3.9199517965316772,4.340632498264313,3.67961323261261,3.9303221106529236,4.43649697303772,3.5355407148599625,3.8420066237449646,4.350761234760284
015-4.wav,Control,3.179426908493042,3.773603571785821,3.5283200475904675,3.605776204003228,3.9063220024108887,4.243916405571832,3.5920736259884305,3.8536000781589084,4.277849329842462,3.1717401345570884,3.676559262805515,3.67689675754971
