file_name,category,raw_ovrl,raw_sig,raw_bak,mossformer_ovrl,mossformer_sig,mossformer_bak,frcrn_se_ovrl,frcrn_se_sig,frcrn_se_bak,demucs_ovrl,demucs_sig,demucs_bak
002-0.wav,Control,1.982440369469779,2.268446683883667,3.897340706416539,2.013010229383196,2.3506412846701488,4.03697623525347,1.6200169324874878,2.005879487310137,3.7989445073263988,2.1760270425251553,2.6485346385410855,4.158886671066284
002-1.wav,Control,2.0873452160093517,2.4810278018315635,3.5195268525017633,2.2780220111211142,2.5999524328443737,4.070631212658352,1.9225102265675862,2.5348901748657227,3.88546183374193,2.344122290611267,2.7081819905175104,3.979850239223904
002-2.wav,Control,2.0488932265175714,2.4847229719161987,3.984933296839396,2.0017208920584784,2.4465099573135376,3.9832243654463024,2.0418841706381903,2.632624732123481,3.9972499741448297,2.1566551393932767,2.640689796871609,4.037103917863634
002-3.wav,Control,2.4659531017144523,3.250616133213043,2.909575621287028,2.899161438147227,3.3436879913012185,3.831356147925059,2.7370250821113586,3.283014327287674,3.489655613899231,2.7675574819246926,3.333976229031881,3.5247225960095725
006-2.wav,Control,3.0298813343048097,3.555818223953247,3.6306416034698485,3.185919237136841,3.5547564029693604,4.062782716751099,3.2513831615448,3.5642814159393312,4.179824352264404,3.332501268386841,3.6586328983306884,4.238446807861328
006-3.wav,Control,3.0188338415963307,3.793034860066005,3.2321901321411133,3.203131914138794,3.70985289982387,3.7694211346762523,2.897350685937064,3.7006689480372836,3.1165126051221574,3.075711488723755,3.7314490590776717,3.4534148488725935
006-4.wav,Control,2.9942151069641114,3.676103687286377,3.303493857383728,3.245983910560608,3.6665841817855833,3.89755175113678,3.3051501989364622,3.6875178813934326,3.9802899837493895,3.059092378616333,3.654808759689331,3.471649479866028
013-0.wav,Control,1.8548697914396013,2.2118847029549733,3.860257829938616,1.927407877785819,2.4069521938051497,3.894808973584856,1.810543724468776,2.174454246248518,3.8472262110028947,1.9708951030458723,2.512693847928728,3.8867291382380893
013-2.wav,Control,2.2916183471679688,2.711548169453939,3.677334785461426,2.357961734135946,2.748241603374481,4.002519766489665,2.388359626134237,2.795750598112742,3.9690503676732383,2.453811446825663,2.86054003238678,4.078005115191142
013-3.wav,Control,2.405196871076311,2.9635582651410783,3.6799353531428745,2.5312914507729665,2.9061248302459717,4.138698373522077,2.487786293029785,2.8878346851893832,4.082780395235334,2.3444981234414235,2.89603921345302,3.845442056655884
