file_name,category,raw_ovrl,raw_sig,raw_bak,mossformer_ovrl,mossformer_sig,mossformer_bak,frcrn_se_ovrl,frcrn_se_sig,frcrn_se_bak,demucs_ovrl,demucs_sig,demucs_bak,denoiser_ovrl,denoiser_sig,denoiser_bak,resemble_ovrl,resemble_sig,resemble_bak
002-0.wav,Control,1.982440369469779,2.2684466668537686,3.8973407404763356,2.0130102123532976,2.3506413187299455,4.036976269313267,1.6200169154575892,2.005879521369934,3.7989445754459927,2.1760270254952565,2.6485346044812883,4.158886705126081,2.0424698761531284,2.343308550970895,4.081239802496774,2.027621490614755,2.266965218952724,4.04827754838126
002-1.wav,Control,2.0873451630274453,2.481027881304423,3.5195267730289035,2.278022050857544,2.599952459335327,4.070631186167399,1.922510200076633,2.534890201356676,3.885461780760023,2.3441222508748374,2.7081820170084634,3.9798502922058105,2.169035487704807,2.4423771831724377,3.999490976333618,2.039639804098341,2.404266039530436,3.5452040831247964
002-2.wav,Control,2.048893239763048,2.4847229056888156,3.984933190875583,2.0017208788130016,2.4465099705590143,3.9832243654463024,2.041884117656284,2.632624705632528,3.997250027126736,2.1566551261478,2.6406897703806558,4.0371039443545875,2.0357573297288685,2.520634399520026,3.977746354209052,2.041556199391683,2.452881866031223,4.0331687397427025
002-3.wav,Control,2.465953121582667,3.2506160934766135,2.909575641155243,2.899161438147227,3.3436880310376487,3.8313560088475547,2.737025022506714,3.2830143670241037,3.489655613899231,2.7675574819246926,3.3339762489000955,3.5247225761413574,2.693879554669062,3.113627851009369,3.6779083410898843,2.648263067007065,3.2199898759524026,3.365881601969401
006-2.wav,Control,3.0298813819885253,3.5558181285858153,3.6306416034698485,3.185919189453125,3.554756450653076,4.062782621383667,3.2513832092285155,3.564281463623047,4.179824256896973,3.332501268386841,3.6586328983306884,4.2384467124938965,3.2008328437805176,3.4747805118560793,4.204667377471924,3.179308319091797,3.5535073280334473,4.013833379745483
006-3.wav,Control,3.018833807536534,3.7930348941258023,3.2321900640215193,3.2031318800789967,3.70985289982387,3.769421066556658,2.897350719996861,3.7006689480372836,3.1165126732417514,3.0757114546639577,3.7314489909580777,3.4534148829323903,3.2390070983341763,3.6883348737444197,3.8503522191728865,3.0951904228755405,3.6347751958029613,3.5994113172803606
006-4.wav,Control,2.9942150831222536,3.676103639602661,3.303493881225586,3.245983934402466,3.6665841817855833,3.89755175113678,3.3051501750946044,3.6875178813934326,3.9802900314331056,3.059092402458191,3.654808688163757,3.471649503707886,3.133096790313721,3.5464157104492187,3.802352786064148,3.105388855934143,3.54857542514801,3.762606644630432
013-0.wav,Control,1.8548697573798043,2.2118847029549733,3.8602578980582103,1.927407877785819,2.406952142715454,3.894808973584856,1.810543758528573,2.174454246248518,3.847226245062692,1.9708951200757707,2.5126938819885254,3.8867291382380893,1.8722265107291085,2.242205194064549,4.083274194172451,1.944232770374843,2.4061172689710344,3.983238560812814
013-2.wav,Control,2.2916183471679688,2.711548129717509,3.677334785461426,2.357961734135946,2.7482415636380515,4.002519806226094,2.3883596658706665,2.795750598112742,3.969050486882528,2.453811446825663,2.86054003238678,4.078005075454712,2.3215659260749817,2.649964213371277,4.029953320821126,2.302616914113363,2.661072254180908,3.9120251337687173
013-3.wav,Control,2.4051967348371233,2.9635582992008755,3.6799353531428745,2.5312914848327637,2.9061248302459717,4.138698441641671,2.4877863270895824,2.8878347192491804,4.082780463354928,2.3444981575012207,2.8960392475128174,3.8454420225960866,2.4372592823845998,2.8625224317823137,3.956755127225603,2.5120361873081754,2.909573861530849,4.049842527934483
013-4.wav,Control,2.3487996260325112,3.0885332822799683,2.8382953802744546,2.9413013060887656,3.174205740292867,4.029221057891846,2.746834317843119,3.056309183438619,3.840449810028076,2.478848179181417,2.907090187072754,3.5077692667643228,2.6812235514322915,2.9803919792175293,3.8287088871002197,2.646013021469116,2.988799810409546,3.7498801549275718
015-0.wav,Control,2.2855127113206044,2.66673013142177,3.8568492276327953,2.262046013559614,2.6397184814725603,3.8663085188184465,1.9712741715567452,2.4899134635925293,3.7731385060719083,2.3151233536856517,2.741255044937134,3.868206807545253,2.18434682062694,2.5186570712498257,3.9137398515428816,2.2012863755226135,2.588041067123413,3.750918303217207
015-1.wav,Control,1.7854829159649936,2.3116248737681997,3.8340224786238237,1.657583312554793,2.1646603670987217,3.7151791832663794,1.7981272610751065,2.324651598930359,3.8945900093425405,1.7766382585872302,2.3421288403597744,3.7419786236502905,2.010558984496377,2.5741121010346846,4.0067220384424385,1.7814772887663408,2.306737780570984,3.886705918745561
015-2.wav,Control,2.8821826676527658,3.411814033985138,3.4655057787895203,2.9617625772953033,3.438883384068807,3.663189649581909,2.925719380378723,3.4493080377578735,3.5673633019129434,3.0349433720111847,3.4628396232922873,3.7703384160995483,2.83318625887235,3.2148926754792533,3.707907497882843,2.8662437399228415,3.374860405921936,3.6101046204566956
015-3.wav,Control,3.5294601917266846,3.8356115520000458,4.271151661872864,3.640600562095642,3.9199521839618683,4.340633034706116,3.5862149000167847,3.864047110080719,4.339482843875885,3.5448819994926453,3.855610430240631,4.333050727844238,3.5100743174552917,3.8292848467826843,4.238090753555298,3.5425301492214203,3.820572465658188,4.316870242357254
015-4.wav,Control,3.179426113764445,3.7736038631863065,3.5283184316423206,3.605776415930854,3.906321737501356,4.243917306264241,3.580119344923231,3.846100833680895,4.265930758582221,3.1279640992482505,3.6279067463345,3.6613678667280407,3.2164933416578503,3.6634104781680636,3.779663509792752,3.310630533430311,3.7574766476949057,3.827252149581909
017-4.wav,Control,3.3103618125120797,3.756380081176758,3.838582674662272,3.5980472962061563,3.8811515967051187,4.303506016731262,3.518349905808767,3.819475293159485,4.236929873625438,3.374840041001638,3.7528623938560486,4.009501198927562,3.342879275480906,3.693414568901062,4.041815519332886,3.322415461142858,3.712510824203491,3.954147756099701
021-0.wav,Control,2.488045644760132,3.1874476432800294,2.9747242450714113,2.6067292213439943,3.1918225288391113,3.3686789512634276,2.5845495223999024,3.1627588272094727,3.302258586883545,2.550111722946167,3.045897674560547,3.275600814819336,2.6973544120788575,3.2182154178619387,3.448491668701172,2.605535459518433,3.141892147064209,3.359763813018799
021-1.wav,Control,2.060781383514404,2.443361926078796,4.051535129547119,2.03445965051651,2.3797526597976684,4.109999799728394,1.9990377187728883,2.478184533119202,3.946129488945007,2.1441400170326235,2.650168037414551,4.048214650154113,2.0308236598968508,2.412974202632904,4.034627079963684,1.9853373050689698,2.336701810359955,4.021652626991272
021-2.wav,Control,2.4258255660533905,3.0555877685546875,3.0923930406570435,2.7837467193603516,3.208055794239044,4.085164368152618,2.284567803144455,2.969553828239441,2.8936628103256226,2.6915775537490845,3.2063435316085815,3.8663675785064697,2.84768283367157,3.222937822341919,4.207644879817963,2.867140531539917,3.253699004650116,4.072400808334351
